-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;3;3;3;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;16;30;30;30;30;-;-;-;-;-;-;-;-;-
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;3;3;3;3;3;98;98;98;98;98;98;98;97;97;97;97;97;90;90;90;90;90;90;90;18;18;18;18;18;82;82;82;82;82;43;43;43;43;103;103;107;107;107;107;107;107;75;75;75;75;75;75;75;75;75;75;75;53;53;41;41;41;41;41;41;16;16;16;30;30;30;-;-;-;-;-;-;-;-;-
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;3;3;3;3;98;98;98;98;98;98;98;97;97;97;97;97;90;90;90;90;90;90;90;18;18;18;18;18;82;82;82;82;82;43;43;43;43;103;103;107;107;107;107;107;107;49;49;49;49;75;75;75;75;75;75;53;53;53;41;41;41;41;41;41;79;79;16;16;30;30;30;-;-;-;-;-;-;-;-
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;111;111;111;3;98;98;98;98;98;98;98;97;97;97;97;97;90;90;90;90;90;90;90;18;18;18;18;18;82;82;82;82;82;43;43;43;43;103;103;103;107;107;107;107;107;49;49;49;49;49;75;75;75;75;75;53;53;53;53;41;41;41;41;41;79;79;79;16;16;30;30;30;-;-;-;-;-;-;-
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;109;109;109;109;5;5;5;111;111;111;111;111;111;111;98;98;98;98;98;98;97;97;97;97;97;90;90;90;90;90;90;90;18;18;18;18;18;82;82;82;82;82;43;43;44;44;103;103;103;107;107;107;107;107;49;49;49;49;75;75;75;75;75;75;53;53;53;53;53;53;41;41;81;81;79;79;79;16;16;16;30;-;-;-;-;-;-;-
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;109;109;109;109;109;5;111;111;111;111;111;111;111;111;98;98;98;98;98;97;97;97;97;97;97;90;90;90;90;90;90;90;18;18;18;18;18;82;82;82;82;82;43;43;43;43;103;103;103;107;107;107;107;49;49;49;49;49;49;49;49;75;75;75;53;53;53;53;53;53;23;23;81;81;81;79;79;79;16;16;30;30;-;-;-;-;-;-
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;6;109;109;109;109;109;109;111;111;111;111;111;111;111;111;113;113;113;113;113;113;38;38;38;38;37;47;47;46;46;46;46;46;1;1;1;1;77;77;77;82;82;82;43;43;43;43;103;103;39;39;39;107;107;49;49;49;49;49;49;49;49;75;75;8;8;8;8;8;8;8;23;23;81;81;81;81;79;79;79;16;16;30;-;-;-;-;-;-
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;70;70;70;-;6;6;6;109;109;109;109;111;111;111;111;111;111;111;111;111;113;113;113;113;113;113;38;38;38;38;37;47;47;47;47;46;46;46;1;1;1;1;77;77;77;77;35;35;43;43;43;43;103;39;39;39;39;39;73;73;49;49;49;49;49;49;49;49;8;8;8;8;8;8;8;8;23;23;81;81;81;81;81;79;79;-;-;30;30;-;-;-;-;-
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;64;64;-;114;114;70;70;70;70;6;6;6;6;15;15;15;15;111;111;111;111;111;111;111;111;113;113;113;113;113;38;38;38;38;38;37;47;47;47;46;46;46;46;1;1;1;1;77;77;77;77;35;35;43;43;43;43;39;39;39;39;39;39;73;73;73;73;73;36;49;49;49;49;49;8;8;8;8;8;8;8;23;23;23;81;81;-;-;-;-;-;-;-;-;-;-;-;-;-
-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;64;64;64;-;114;114;114;70;70;70;6;6;6;6;15;15;15;15;15;111;111;111;111;111;56;56;56;56;33;33;33;38;38;38;37;37;37;48;48;47;46;46;46;46;1;1;1;1;77;77;77;35;35;35;35;104;43;39;39;39;39;39;39;73;73;73;73;73;36;36;36;49;49;49;8;8;8;8;8;8;8;8;-;-;23;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-
